event_message,id,identifier,method,path,search,status_code,timestamp
POST | 200 | 223.185.33.160 | 9bf8831a2d176d2f | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/rpc/batch_save_entry | Dart/3.9 (dart:io),be965472-4989-4b04-833e-06d44443c598,foqoterfgxoiwoxvuxqi,POST,/rest/v1/rpc/batch_save_entry,null,200,1768680795231000
GET | 200 | 223.185.33.160 | 9bf87e525969bcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),71f64295-4108-4ec7-b327-32d19e5273a1,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680599423000
GET | 200 | 223.185.33.160 | 9bf87e50be78bcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),acd0ae40-4b11-4ecb-afb7-408592005d3d,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680599164000
GET | 200 | 223.185.33.160 | 9bf87e450b45bcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entry_insights?select=id%2Centry_id%2Csummary%2Cinsight_text%2Cinsight_details%2Csentiment_label%2Csentiment_score%2Ctopics%2Cprocessed_at%2Cstatus%2Centries%21inner%28entry_date%2Cuser_id%29&entries.user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entries.entry_date=eq.2026-01-17&status=eq.success | Dart/3.9 (dart:io),9153aec3-9784-49ee-921e-7ae5954d7f42,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entry_insights,?select=id%2Centry_id%2Csummary%2Cinsight_text%2Cinsight_details%2Csentiment_label%2Csentiment_score%2Ctopics%2Cprocessed_at%2Cstatus%2Centries%21inner%28entry_date%2Cuser_id%29&entries.user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entries.entry_date=eq.2026-01-17&status=eq.success,200,1768680597289000
GET | 200 | 223.185.33.160 | 9bf87e046eccbcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entry_insights?select=id%2Centry_id%2Cinsight_text%2Csummary%2Csentiment_label%2Ctopics%2Cinsight_details%2Cprocessed_at%2Cstatus&entry_id=eq.22c7d9be-cd8d-4e03-a22c-7922979d72b2&status=eq.success | Dart/3.9 (dart:io),d11650e7-a68d-43c2-aec6-863db6a1dc92,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entry_insights,?select=id%2Centry_id%2Cinsight_text%2Csummary%2Csentiment_label%2Ctopics%2Cinsight_details%2Cprocessed_at%2Cstatus&entry_id=eq.22c7d9be-cd8d-4e03-a22c-7922979d72b2&status=eq.success,200,1768680586954000
GET | 200 | 223.185.33.160 | 9bf87dde8cb06d2f | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=entry_date%2Cmood_score&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2016-01-01&entry_date=lte.2026-01-18&order=entry_date.desc.nullslast | Dart/3.9 (dart:io),d87fb258-744a-4c43-9d08-5cf56e180f65,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=entry_date%2Cmood_score&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2016-01-01&entry_date=lte.2026-01-18&order=entry_date.desc.nullslast,200,1768680580893000
GET | 200 | 223.185.33.160 | 9bf87dddeb0fbcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=entry_date&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2016-01-01&entry_date=lte.2026-01-18&order=entry_date.desc.nullslast | Dart/3.9 (dart:io),8c49878e-fbf3-4b6f-959f-6fa283030e33,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=entry_date&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2016-01-01&entry_date=lte.2026-01-18&order=entry_date.desc.nullslast,200,1768680580789000
POST | 200 | 223.185.33.160 | 9bf87d7f5e25bcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/streaks | Dart/3.9 (dart:io),bde161be-1804-4340-97de-e83101b548b8,foqoterfgxoiwoxvuxqi,POST,/rest/v1/streaks,null,200,1768680565659000
GET | 200 | 223.185.33.160 | 9bf87d72a9f0bcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),f600f2e9-6b05-4291-9bd5-61f0f0d3a774,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680563633000
GET | 200 | 223.185.33.160 | 9bf87d714c5fdccb | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*%2Centry_self_care%28*%29%2Centry_meals%28*%29%2Centry_affirmations%28*%29%2Centry_gratitude%28*%29%2Centry_priorities%28*%29%2Centry_tomorrow_notes%28*%29&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2025-12-01&entry_date=lte.2025-12-31&order=entry_date.desc.nullslast | Dart/3.9 (dart:io),51b02013-a7cc-407f-9459-2185f91db540,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*%2Centry_self_care%28*%29%2Centry_meals%28*%29%2Centry_affirmations%28*%29%2Centry_gratitude%28*%29%2Centry_priorities%28*%29%2Centry_tomorrow_notes%28*%29&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2025-12-01&entry_date=lte.2025-12-31&order=entry_date.desc.nullslast,200,1768680563414000
GET | 200 | 223.185.33.160 | 9bf87d701d75b2d6 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/prompts?select=text&active=eq.true&limit=1 | Dart/3.9 (dart:io),38860610-32e6-420d-91b4-12329fd18a72,foqoterfgxoiwoxvuxqi,GET,/rest/v1/prompts,?select=text&active=eq.true&limit=1,200,1768680563219000
GET | 200 | 223.185.33.160 | 9bf87d6fec987e2c | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/habits_daily?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&date=eq.2026-01-18 | Dart/3.9 (dart:io),c91d41f3-86e5-4e6d-a3ab-0413176efb3a,foqoterfgxoiwoxvuxqi,GET,/rest/v1/habits_daily,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&date=eq.2026-01-18,200,1768680563194000
GET | 200 | 223.185.33.160 | 9bf87d6fdd7fbcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/streaks?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8 | Dart/3.9 (dart:io),4f98a249-ed51-4aae-a512-c2be858574f7,foqoterfgxoiwoxvuxqi,GET,/rest/v1/streaks,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,200,1768680563178000
GET | 200 | 223.185.33.160 | 9bf87d6fcdbd4f8f | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entry_insights?select=id%2Centry_id%2Csummary%2Cinsight_text%2Cinsight_details%2Csentiment_label%2Csentiment_score%2Ctopics%2Cprocessed_at%2Cstatus%2Centries%21inner%28entry_date%2Cuser_id%29&entries.user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entries.entry_date=eq.2026-01-17&status=eq.success | Dart/3.9 (dart:io),095e3bff-19d2-48df-9422-819cddfa6b5d,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entry_insights,?select=id%2Centry_id%2Csummary%2Cinsight_text%2Cinsight_details%2Csentiment_label%2Csentiment_score%2Ctopics%2Cprocessed_at%2Cstatus%2Centries%21inner%28entry_date%2Cuser_id%29&entries.user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entries.entry_date=eq.2026-01-17&status=eq.success,200,1768680563174000
GET | 200 | 223.185.33.160 | 9bf87d6fca4cdccb | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*%2Centry_self_care%28*%29%2Centry_meals%28*%29%2Centry_affirmations%28*%29%2Centry_gratitude%28*%29%2Centry_priorities%28*%29%2Centry_tomorrow_notes%28*%29&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2026-01-01&entry_date=lte.2026-01-31&order=entry_date.desc.nullslast | Dart/3.9 (dart:io),488fcef5-6745-4e44-9fda-45f4e3858140,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*%2Centry_self_care%28*%29%2Centry_meals%28*%29%2Centry_affirmations%28*%29%2Centry_gratitude%28*%29%2Centry_priorities%28*%29%2Centry_tomorrow_notes%28*%29&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2026-01-01&entry_date=lte.2026-01-31&order=entry_date.desc.nullslast,200,1768680563173000
GET | 200 | 223.185.33.160 | 9bf87d6efbebb2d6 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/prompt_assignments?select=prompt_id%2Cprompts%28text%29&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&assigned_for_date=eq.2026-01-18&limit=1 | Dart/3.9 (dart:io),34bcade3-c780-46e4-8592-ec82236ef5b0,foqoterfgxoiwoxvuxqi,GET,/rest/v1/prompt_assignments,?select=prompt_id%2Cprompts%28text%29&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&assigned_for_date=eq.2026-01-18&limit=1,200,1768680563039000
GET | 200 | 223.185.33.160 | 9bf87d643c3ab2d6 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/user_settings?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8 | Dart/3.9 (dart:io),f3305dbe-7348-4010-bafd-80c5af7e84fb,foqoterfgxoiwoxvuxqi,GET,/rest/v1/user_settings,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,200,1768680561323000
GET | 200 | 223.185.33.160 | 9bf87d61c8ffb2d6 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2016-01-01&entry_date=lte.2026-01-18&order=entry_date.desc.nullslast | Dart/3.9 (dart:io),7dc8ed1c-5153-499b-8b00-0828abb6e71c,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=gte.2016-01-01&entry_date=lte.2026-01-18&order=entry_date.desc.nullslast,200,1768680560934000
GET | 200 | 223.185.33.160 | 9bf87d5f6d6cb2d6 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/users?select=*&id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8 | Dart/3.9 (dart:io),29a41021-70b9-4c79-b07a-4af6507c22fe,foqoterfgxoiwoxvuxqi,GET,/rest/v1/users,?select=*&id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,200,1768680560551000
POST | 200 | 223.185.33.160 | 9bf87d573e78dccb | https://foqoterfgxoiwoxvuxqi.supabase.co/auth/v1/token?grant_type=refresh_token | Dart/3.9 (dart:io),ef0d0e89-f727-44aa-885b-4f743ea204e9,foqoterfgxoiwoxvuxqi,POST,/auth/v1/token,?grant_type=refresh_token,200,1768680559246000
POST | 200 | 13.127.63.172 | 9bf8770e4fa93d26 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/rpc/process_analysis_queue_batch | Deno/2.1.4 (variant; SupabaseEdgeRuntime/1.69.25),8ee4f030-d6cb-4f71-b9a6-66deb8bb864d,foqoterfgxoiwoxvuxqi,POST,/rest/v1/rpc/process_analysis_queue_batch,null,200,1768680301815000
POST | 200 | 13.204.155.57 | 9bf86fbe196846fb | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/rpc/process_analysis_queue_batch | Deno/2.1.4 (variant; SupabaseEdgeRuntime/1.69.25),f8d8eb54-a6ea-4825-af7d-39b0b7635d3e,foqoterfgxoiwoxvuxqi,POST,/rest/v1/rpc/process_analysis_queue_batch,null,200,1768680002266000
POST | 200 | 52.66.218.206 | 9bf86fba0d6e3a42 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/rpc/claim_pending_jobs | Deno/2.1.4 (variant; SupabaseEdgeRuntime/1.69.25),be803dad-7e12-4735-a4cc-7cca7f81cbf7,foqoterfgxoiwoxvuxqi,POST,/rest/v1/rpc/claim_pending_jobs,null,200,1768680001619000
GET | 200 | 52.66.218.206 | 9bf86fb97d393a42 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/analysis_queue?select=id&status=eq.processing&updated_at=gte.2026-01-17T19%3A50%3A01.542Z | Deno/2.1.4 (variant; SupabaseEdgeRuntime/1.69.25),9c4615b1-78f9-4c71-acf5-52b2f024f2cd,foqoterfgxoiwoxvuxqi,GET,/rest/v1/analysis_queue,?select=id&status=eq.processing&updated_at=gte.2026-01-17T19%3A50%3A01.542Z,200,1768680001526000
GET | 200 | 52.66.218.206 | 9bf86fb6ec9e3a42 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/analysis_queue?select=id&status=eq.processing&updated_at=lt.2026-01-17T19%3A50%3A01.120Z | Deno/2.1.4 (variant; SupabaseEdgeRuntime/1.69.25),d7248d97-899e-4d42-a15b-c9d5e51e47b1,foqoterfgxoiwoxvuxqi,GET,/rest/v1/analysis_queue,?select=id&status=eq.processing&updated_at=lt.2026-01-17T19%3A50%3A01.120Z,200,1768680001115000
